Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
1,General Information
2,Client,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,Your_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
4,Spouse,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5,Spouse's_income_tax_rate,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
6,Income
7,EARNED_INCOME,1000,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SPOUSE_EARNED_INCOME,2000,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OAS,200,205,210,215,221,226,232,238,244,250,256,262,269,276,283,290,297,304,312,320,328,336,344,353,362,371,380,390,399,409,420,430,441,452,463,475,487,499,511,524,537,550,564,578,593,608
10,SPOUSE_OAS,200,205,210,215,221,226,232,238,244,250,256,262,269,276,283,290,297,304,312,320,328,336,344,353,362,371,380,390,399,409,420,430,441,452,463,475,0,0,0,0,0,0,0,0,0,0
11,CPP,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,26,26,27,28,28,29,30,30
12,SPOUSE_CPP,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,0,0,0,0,0,0,0,0,0,0
13,OTHER_PENSION,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
14,SPOUSE_OTHER_PENSION,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0
15,NON_REGISTERED_DIVIDEND,0,33,44,59,71,84,97,111,125,140,155,171,188,204,222,240,259,279,299,320,341,364,387,411,436,462,488,516,544,574,604,636,669,703,738,774,1623,1667,1712,1758,1805,1854,1904,1956,2009,2063
16,SPOUSE_NON_REGISTERED_DIVIDEND,0,33,44,59,71,84,97,111,125,140,155,171,188,204,222,240,259,279,299,320,341,364,387,411,436,462,488,516,544,574,604,636,669,703,738,774,0,19,40,61,83,106,130,155,181,208
17,PERMANENT_LIFE_INSURANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
18,total_funds_in,4420,1496,1950,1570,1606,1642,1682,1722,1762,1804,1848,1892,1940,1988,2038,2088,2142,2196,2254,2312,2370,2434,2496,2564,2632,2704,2774,2850,2926,3006,3090,3176,3264,3356,3448,3566,2634,2710,2789,2869,2952,3038,3126,3218,3313,3429
19,ANNUAL_RETIREMENT_EXPENSES,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,26,26,27,28,28,29,30,30
20,HEALTH_CARE_EXPENSES,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,18,18,19,19,19,20,20,21,22,22,23,23,24,24,25,26,26,27,28,28,29,30,30
21,ONE_OFF_EXPENSES,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CHARITABLE_DONATIONS,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
